"programming_exp","cli_exp","vcs_exp","md_exp","r_exp","web_exp","os","washington_born","pet_preference","coffee_cups","seahawks_fan","info_interest"
3,0,0,0,0,0,"Windows","Yes","dog person",2,"Yes","Yes"
4,0,0,0,0,2,"Mac OS X","No","dog person",1,"YES!!!","Yes"
3,1,0,0,0,0,"Windows","No","cat person, dog person",0,"Yes","Yes"
1,0,0,0,0,0,"Windows","No","Other i dont have pets",1,"No","No"
5,0,0,0,0,0,"Windows","No","Other I barely consider myself a person at all",5,"Yes","Yes"
4,0,0,0,0,0,"Mac OS X","No","dog person",2,"No","No"
3,0,0,0,0,0,"Mac OS X","No","dog person",1,"No","Yes"
1,0,0,0,0,0,"Mac OS X","No","dog person, bird person",1,"No","Not sure"
2,1,1,1,1,0,"Mac OS X","Yes","dog person",1,"Yes","Not sure"
1,0,0,0,0,0,"Mac OS X","Yes","dog person",1,"Yes","N/A"
5,3,2,3,1,3,"Mac OS X","No","cat person",0.5,"No","Not sure"
4,1,1,0,1,1,"Mac OS X","No","dog person",0,"Yes","Yes"
3,0,0,0,0,1,"Mac OS X","No","dog person",0,"No","Yes"
4,1,1,0,0,0,"Windows","No","cat person",1.5,"Yes","Not sure"
5,1,1,0,0,2,"Windows","No","cat person",0.5,"No","Yes"
4,1,0,0,1,0,"Windows","Yes","fish person",0,"Yes","No"
3,1,1,0,0,1,"Windows","No","dog person",1,"No","No"
4,1,0,0,0,2,"Windows","Yes","dog person",0,"Yes","Not sure"
4,0,0,1,1,1,"Mac OS X","No","cat person, dog person",0.5,"No","Not sure"
1,0,0,0,0,0,"Windows","No","dog person",1,"No","Not sure"
4,1,1,0,2,2,"Mac OS X","Yes","Other I have a pet duck!",1,"Yes","Yes"
4,1,0,0,0,2,"Windows","No","dog person",2,"No","No"
1,0,0,0,0,0,"Mac OS X","No","Other none",0,"YES!!!","Not sure"
1,0,0,0,0,0,"Mac OS X","No","dog person",1,"YES!!!","No"
5,1,1,0,0,2,"Windows","No","cat person",0,"No","Yes"
4,1,0,0,0,2,"Windows","Yes","Other tomato",0,"No","No"
2,0,2,0,2,2,"Mac OS X","Yes","dog person",1,"Yes","Not sure"
5,2,2,2,2,2,"Other: Both Windows and Mac OS X ","Yes","cat person, dog person",1,"YES!!!","No"
5,2,2,0,0,2,"Mac OS X","No","dog person",3,"No","N/A"
4,0,0,0,0,1,"Mac OS X","No","dog person",2,"No","Yes"
3,0,1,0,0,1,"Windows","Yes","dog person",1,"YES!!!","Yes"
3,1,0,0,0,1,"Windows","No","dog person, bird person",0,"No","Yes"
2,1,1,0,1,1,"Mac OS X","No","cat person, dog person",1,"YES!!!","No"
1,0,0,0,0,0,"Mac OS X","No","dog person",1,"Yes","No"
4,1,1,0,0,2,"Windows","Yes","cat person",0,"Yes","Yes"
2,1,0,0,1,1,"Mac OS X","Yes","dog person",1.5,"YES!!!","No"
1,0,0,0,0,0,"Windows","No","dog person",1,"No","No"
1,0,0,0,0,0,"Mac OS X","No","dog person",2,"YES!!!","No"
3,0,0,0,0,0,"Windows","Yes","dog person",1,"YES!!!","Yes"
4,1,0,0,0,1,"Windows","No","cat person, dog person, fish person, bird person, Other Reptile Person",2,"Yes","Yes"
3,0,0,0,0,2,"Mac OS X","Yes","dog person",2,"YES!!!","Not sure"
4,1,1,0,0,2,"Windows","No","",3,"Yes","Yes"
2,0,1,0,0,1,"Mac OS X","No","dog person",2,"No","No"
1,0,0,0,0,1,"Windows","Yes","dog person",1,"YES!!!","Not sure"
3,2,2,3,0,3,"Windows","Yes","dog person",0,"Yes","Not sure"
3,0,0,0,0,2,"Windows","Yes","fish person",2,"YES!!!","Yes"
5,2,1,0,0,3,"Other: I go between both Windows 7 and OSX","Yes","dog person, fish person, bird person, Other explicitly NOT a cat person",2.7,"Yes","Yes"
4,0,0,0,0,0,"Windows","Yes","dog person",2,"Yes","Yes"
3,0,0,0,0,0,"Mac OS X","No","dog person",1,"No","Yes"
2,0,0,0,0,1,"Mac OS X","No","cat person, dog person",0,"Yes","Yes"
2,1,0,0,0,1,"Mac OS X","Yes","dog person",1,"Yes","No"
1,0,0,0,0,0,"Mac OS X","Yes","cat person",2,"Yes","No"
2,1,0,0,0,0,"Mac OS X","Yes","dog person",1,"Yes","N/A"
3,0,1,1,1,1,"Mac OS X","No","dog person",3,"No","N/A"
2,0,0,0,0,0,"Mac OS X","Yes","dog person",2,"Yes","No"
3,0,1,1,1,1,"Mac OS X","Yes","dog person",0,"Yes","Not sure"
5,1,0,2,0,3,"Windows","No","cat person, dog person, fish person, bird person",0,"No","Not sure"
1,0,0,0,0,0,"Mac OS X","No","dog person",1,"No","Not sure"
4,0,0,0,0,0,"Mac OS X","Yes","dog person",0,"Yes","Yes"
3,1,0,0,0,0,"Mac OS X","Yes","cat person",1,"Yes","Yes"
5,2,2,1,0,1,"Mac OS X","Yes","cat person",0.25,"YES!!!","No"
2,0,1,0,0,0,"Mac OS X","No","dog person",1,"No","No"
5,2,0,2,2,0,"Windows","No","Other rabbit person",0.3,"No","No"
4,2,2,1,0,3,"Windows","Yes","cat person, dog person",3,"YES!!!","Yes"
3,0,0,0,1,2,"Windows","Yes","cat person",1,"Yes","Not sure"
1,1,0,0,0,0,"Mac OS X","Yes","dog person",0,"Yes","Not sure"
4,2,2,0,0,0,"Windows","Yes","dog person",0,"Yes","Yes"
4,0,0,0,2,2,"Mac OS X","Yes","dog person",1,"Yes","Yes"
5,2,2,0,0,2,"Windows","Yes","dog person",0,"Yes","No"
3,0,0,0,0,1,"Windows","Yes","dog person",0,"Yes","Yes"
4,1,1,0,0,0,"Windows","No","cat person",0,"No","Not sure"
4,1,0,0,0,0,"Windows","No","dog person",0,"No","Yes"
4,1,2,1,0,1,"Windows","Yes","dog person",0,"YES!!!","Yes"
3,3,1,0,1,1,"Mac OS X","Yes","cat person, dog person",2,"Yes","Yes"
3,0,0,0,0,1,"Windows","Yes","cat person, dog person",0,"Yes","No"
1,0,0,0,0,0,"Windows","No","cat person",1,"Yes","Not sure"
4,1,0,0,0,2,"Mac OS X","Yes","dog person",0,"Yes","Yes"
3,0,0,0,0,0,"Windows","No","cat person",1,"Yes","Not sure"
4,1,1,0,0,0,"Windows","Yes","dog person",0,"No","Yes"
4,1,0,0,0,0,"Windows","Yes","cat person",3,"No","Yes"
4,2,1,0,0,2,"Mac OS X","No","dog person",0,"No","Yes"
3,0,0,0,0,1,"Mac OS X","No","dog person",1,"Yes","Yes"
4,1,1,0,0,1,"Windows","Yes","dog person",2,"YES!!!","N/A"
4,0,0,0,0,0,"Windows","No","Other I really don't know",1,"No","Not sure"
3,0,0,0,0,0,"Windows","Yes","cat person",0,"Yes","No"
3,2,1,0,0,2,"Mac OS X","","dog person",3,"No","Yes"
3,0,0,0,0,0,"Windows","Yes","cat person, dog person, fish person, bird person, Other All animals are amazing. Besides spiders or anything with too many legs.",0,"No","Yes"
4,1,1,0,1,1,"Mac OS X","No","dog person",1,"No","Not sure"
4,1,1,0,0,1,"Mac OS X","Yes","cat person, dog person, bird person, Other People person",0,"Yes","Yes"
3,1,0,0,0,1,"Mac OS X","No","dog person",0.3,"YES!!!","Not sure"
2,0,0,0,0,1,"Windows","Yes","dog person",0,"YES!!!","Not sure"
4,1,0,0,0,2,"Mac OS X","No","dog person, Other Java Person",1,"Yes","Yes"
1,0,0,0,0,0,"Other: ","Yes","dog person",1,"YES!!!","No"
4,0,0,0,0,2,"Windows","No","Other porcupine",0,"No","Yes"
4,0,1,0,0,1,"Windows","Yes","cat person, dog person",0.25,"YES!!!","Yes"
2,0,0,0,0,0,"Mac OS X","No","cat person, dog person",1,"No","No"
1,0,0,0,0,0,"Mac OS X","No","dog person",1,"Yes","No"
4,1,1,1,0,2,"Windows","No","",0,"No","Yes"
4,1,1,0,0,0,"Mac OS X","Yes","cat person",1,"YES!!!","Yes"
3,1,1,0,0,2,"Mac OS X","Yes","cat person, dog person",0.15,"YES!!!","Yes"
5,2,2,0,0,3,"Windows","No","dog person",0,"Yes","Yes"
3,1,0,0,0,1,"Windows","Yes","dog person",0,"Yes","Yes"
1,0,0,0,0,0,"Mac OS X","Yes","dog person",0,"Yes","Yes"
3,1,1,0,0,0,"Windows","No","cat person",1,"YES!!!","Not sure"
3,1,1,0,0,1,"Windows","Yes","dog person",0.3,"YES!!!","Yes"
4,0,0,0,0,0,"Mac OS X","No","dog person",0,"Yes","N/A"
1,0,0,0,1,0,"Windows","Yes","dog person",3,"No","No"
3,0,0,0,0,0,"Mac OS X","Yes","dog person",1,"No","No"
4,2,0,0,2,0,"Windows","No","cat person, dog person, fish person",0,"No","Not sure"
2,0,0,0,0,2,"Mac OS X","Yes","dog person",1,"No","Yes"
1,1,0,0,1,1,"Mac OS X","Yes","dog person",2,"Yes","Not sure"
5,2,2,1,0,2,"Windows","No","cat person, dog person, fish person, bird person",0,"Yes","Yes"
1,0,0,0,0,0,"Mac OS X","Yes","cat person, dog person",2,"No","Not sure"
4,0,0,0,0,0,"Windows","Yes","dog person",3,"No","Yes"
4,0,0,0,0,0,"Windows","No","dog person",0,"YES!!!","Yes"
4,1,1,0,0,1,"Windows","Yes","dog person",1,"YES!!!","Not sure"
4,1,1,0,0,2,"Windows","Yes","cat person, dog person, fish person, Other hamster",1,"Yes","Yes"
3,1,1,1,0,1,"Mac OS X","No","cat person",2,"YES!!!","Yes"
5,1,1,0,0,2,"Windows","No","dog person, Other Penguin",0.1,"No","Yes"
3,1,0,0,0,0,"Windows","Yes","dog person",1,"Yes","No"
1,0,0,0,0,1,"Mac OS X","Yes","cat person",3,"Yes","No"
2,0,0,0,1,0,"Windows","No","dog person",2,"YES!!!","No"
3,0,0,0,0,0,"Mac OS X","Yes","dog person",1,"YES!!!","Yes"
4,0,0,0,0,0,"Windows","No","dog person",2,"No","No"
4,1,1,0,0,0,"Linux (any)","No","Other horse person",0,"No","Not sure"
3,0,0,0,0,0,"Windows","No","dog person",0,"YES!!!","Not sure"
3,0,0,0,0,1,"Windows","No","cat person",1,"YES!!!","Yes"
5,1,0,0,0,2,"Windows","No","cat person",0,"No","Yes"
4,1,1,0,0,1,"Windows","No","cat person",0,"Yes","Not sure"
5,2,0,0,0,1,"Windows","Yes","cat person, dog person, fish person, bird person, Other I love pretty much all animals ",2,"Yes","Not sure"
4,1,0,0,0,1,"Other: I use both Win & Linux","No","cat person",1,"No","Yes"
2,1,1,0,0,2,"Mac OS X","Yes","dog person",1,"No","Not sure"
5,1,1,0,0,3,"Mac OS X","Yes","dog person",1,"YES!!!","Not sure"
4,1,1,0,1,1,"Mac OS X","No","cat person, dog person",1,"Yes","Yes"
4,0,0,0,0,0,"Windows","Yes","cat person, dog person",0,"Yes","Yes"
5,2,3,2,2,3,"Mac OS X","Yes","dog person",0,"YES!!!","No"
4,0,0,0,0,0,"Windows","No","dog person",1,"YES!!!","Yes"
4,1,0,0,0,0,"Mac OS X","No","dog person",0.333,"YES!!!","Not sure"
4,1,0,0,0,0,"Mac OS X","Yes","dog person",0,"YES!!!","Yes"
3,0,0,0,0,0,"Windows","Yes","cat person",0,"Yes","No"
5,0,0,0,1,0,"Mac OS X","No","dog person",2,"YES!!!","Not sure"
